,ds,y
2863,2016-01-04,762.2
2864,2016-01-05,769.2
2865,2016-01-06,765.73
2866,2016-01-07,755.31
2867,2016-01-08,750.12
2868,2016-01-11,735.08
2869,2016-01-12,748.34
2870,2016-01-13,753.0
2871,2016-01-14,739.89
2872,2016-01-15,724.158
2873,2016-01-19,725.35
2874,2016-01-20,726.95
2875,2016-01-21,737.67
2876,2016-01-22,748.56
2877,2016-01-25,752.46
2878,2016-01-26,739.46
2879,2016-01-27,735.89
2880,2016-01-28,751.16
2881,2016-01-29,765.105
2882,2016-02-01,777.59
2883,2016-02-02,810.35
2884,2016-02-03,791.43
2885,2016-02-04,745.24
2886,2016-02-05,726.72
2887,2016-02-08,704.52
2888,2016-02-09,720.96
2889,2016-02-10,723.22
2890,2016-02-11,712.315
2891,2016-02-12,716.0
2892,2016-02-16,722.8789
2893,2016-02-17,733.76
2894,2016-02-18,736.0
2895,2016-02-19,724.03
2896,2016-02-22,734.845
2897,2016-02-23,730.9
2898,2016-02-24,721.22
2899,2016-02-25,729.51
2900,2016-02-26,736.16
2901,2016-02-29,730.6
2902,2016-03-01,742.33
2903,2016-03-02,743.1210000000001
2904,2016-03-03,741.0
2905,2016-03-04,735.0
2906,2016-03-07,727.21
2907,2016-03-08,722.25
2908,2016-03-09,726.24
2909,2016-03-10,736.54
2910,2016-03-11,744.9
2911,2016-03-14,754.26
2912,2016-03-15,753.01
2913,2016-03-16,759.0
2914,2016-03-17,765.34
2915,2016-03-18,762.14
2916,2016-03-21,763.34
2917,2016-03-22,765.0
2918,2016-03-23,765.39
2919,2016-03-24,757.555
2920,2016-03-28,758.3
2921,2016-03-29,767.18
2922,2016-03-30,777.31
2923,2016-03-31,769.0842
2924,2016-04-01,770.04
2925,2016-04-04,772.44
2926,2016-04-05,762.87
2927,2016-04-06,768.42
2928,2016-04-07,769.36
2929,2016-04-08,767.13
2930,2016-04-11,767.22
2931,2016-04-12,764.92
2932,2016-04-13,775.75
2933,2016-04-14,779.61
2934,2016-04-15,780.93
2935,2016-04-18,788.55
2936,2016-04-19,790.95
2937,2016-04-20,779.66
2938,2016-04-21,781.6799
2939,2016-04-22,753.92
2940,2016-04-25,744.88
2941,2016-04-26,745.59
2942,2016-04-27,727.15
2943,2016-04-28,729.26
2944,2016-04-29,712.11
2945,2016-05-02,715.41
2946,2016-05-03,713.37
2947,2016-05-04,715.05
2948,2016-05-05,717.55
2949,2016-05-06,725.99
2950,2016-05-09,734.29
2951,2016-05-10,740.0
2952,2016-05-11,740.8
2953,2016-05-12,735.37
2954,2016-05-13,731.29
2955,2016-05-16,732.68
2956,2016-05-17,735.85
2957,2016-05-18,725.57
2958,2016-05-19,720.5
2959,2016-05-20,727.7
2960,2016-05-23,723.4999
2961,2016-05-24,734.2
2962,2016-05-25,739.89
2963,2016-05-26,741.1
2964,2016-05-27,747.91
2965,2016-05-31,753.48
2966,2016-06-01,751.37
2967,2016-06-02,747.3
2968,2016-06-03,741.49
2969,2016-06-06,738.5
2970,2016-06-07,736.71
2971,2016-06-08,743.81
2972,2016-06-09,743.93
2973,2016-06-10,739.64
2974,2016-06-13,739.0
2975,2016-06-14,736.0
2976,2016-06-15,737.15
2977,2016-06-16,730.39
2978,2016-06-17,721.39
2979,2016-06-20,715.87
2980,2016-06-21,715.38
2981,2016-06-22,714.21
2982,2016-06-23,714.88
2983,2016-06-24,705.0
2984,2016-06-27,683.325
2985,2016-06-28,692.7399
2986,2016-06-29,699.5
2987,2016-06-30,703.77
2988,2016-07-01,712.53
2989,2016-07-05,708.12
2990,2016-07-06,713.0
2991,2016-07-07,710.17
2992,2016-07-08,717.9
2993,2016-07-11,728.9289
2994,2016-07-12,735.6
2995,2016-07-13,735.52
2996,2016-07-14,736.14
2997,2016-07-15,741.0
2998,2016-07-18,755.1369
2999,2016-07-19,756.59
3000,2016-07-20,760.64
3001,2016-07-21,758.15
3002,2016-07-22,759.45
3003,2016-07-25,759.8249
3004,2016-07-26,759.26
3005,2016-07-27,764.45
3006,2016-07-28,768.97
3007,2016-07-29,803.94
3008,2016-08-01,807.49
3009,2016-08-02,802.32
3010,2016-08-03,799.54
3011,2016-08-04,800.2
3012,2016-08-05,807.22
3013,2016-08-08,807.6
3014,2016-08-09,813.33
3015,2016-08-10,810.8789999999999
3016,2016-08-11,813.8789999999999
3017,2016-08-12,807.19
3018,2016-08-15,811.36
3019,2016-08-16,804.26
3020,2016-08-17,805.63
3021,2016-08-18,808.0
3022,2016-08-19,801.23
3023,2016-08-22,799.3
3024,2016-08-23,801.0
3025,2016-08-24,798.46
3026,2016-08-25,794.72
3027,2016-08-26,799.4
3028,2016-08-29,798.52
3029,2016-08-30,798.0
3030,2016-08-31,791.57
3031,2016-09-01,792.89
3032,2016-09-02,797.1
3033,2016-09-06,810.89
3034,2016-09-07,810.6
3035,2016-09-08,808.42
3036,2016-09-09,801.75
3037,2016-09-12,800.17
3038,2016-09-13,795.79
3039,2016-09-14,796.33
3040,2016-09-15,803.645
3041,2016-09-16,799.02
3042,2016-09-19,803.99
3043,2016-09-20,802.75
3044,2016-09-21,805.91
3045,2016-09-22,819.06
3046,2016-09-23,817.0
3047,2016-09-26,810.08
3048,2016-09-27,813.49
3049,2016-09-28,810.25
3050,2016-09-29,813.91
3051,2016-09-30,808.09
3052,2016-10-03,803.54
3053,2016-10-04,806.5
3054,2016-10-05,808.5
3055,2016-10-06,806.945
3056,2016-10-07,805.94
3057,2016-10-10,817.38
3058,2016-10-11,819.86
3059,2016-10-12,814.5
3060,2016-10-13,806.56
3061,2016-10-14,810.09
3062,2016-10-17,813.49
3063,2016-10-18,828.81
3064,2016-10-19,829.81
3065,2016-10-20,828.465
3066,2016-10-21,824.29
3067,2016-10-24,837.94
3068,2016-10-25,838.5
3069,2016-10-26,827.71
3070,2016-10-27,826.58
3071,2016-10-28,839.0
3072,2016-10-31,822.63
3073,2016-11-01,813.96
3074,2016-11-02,806.76
3075,2016-11-03,790.0
3076,2016-11-04,788.48
3077,2016-11-07,805.0
3078,2016-11-08,816.04
3079,2016-11-09,811.71
3080,2016-11-10,810.06
3081,2016-11-11,777.29
3082,2016-11-14,771.78
3083,2016-11-15,780.2376
3084,2016-11-16,783.5
3085,2016-11-17,788.9
3086,2016-11-18,791.29
3087,2016-11-21,786.55
3088,2016-11-22,793.77
3089,2016-11-23,789.52
3090,2016-11-25,782.9
3091,2016-11-28,799.74
3092,2016-11-29,796.44
3093,2016-11-30,791.51
3094,2016-12-01,778.6
3095,2016-12-02,770.5
3096,2016-12-05,780.0
3097,2016-12-06,785.28
3098,2016-12-07,792.0
3099,2016-12-08,799.0
3100,2016-12-09,809.95
3101,2016-12-12,811.35
3102,2016-12-13,824.3
3103,2016-12-14,824.26
3104,2016-12-15,823.0
3105,2016-12-16,819.2
3106,2016-12-19,816.22
3107,2016-12-20,816.49
3108,2016-12-21,815.72
3109,2016-12-22,811.07
3110,2016-12-23,810.9696
3111,2016-12-27,816.0
3112,2016-12-28,813.33
3113,2016-12-29,805.75
3114,2016-12-30,803.285
3115,2017-01-03,811.435
3116,2017-01-04,813.43
3117,2017-01-05,813.74
3118,2017-01-06,828.96
3119,2017-01-09,830.43
3120,2017-01-10,829.41
3121,2017-01-11,829.9
3122,2017-01-12,830.38
3123,2017-01-13,834.65
3124,2017-01-17,830.18
3125,2017-01-18,829.81
3126,2017-01-19,832.9999
3127,2017-01-20,829.24
3128,2017-01-23,845.5428
3129,2017-01-24,851.52
3130,2017-01-25,858.7936
3131,2017-01-26,861.0
3132,2017-01-27,867.0
3133,2017-01-30,837.23
3134,2017-01-31,823.07
3135,2017-02-01,824.0
3136,2017-02-02,824.56
3137,2017-02-03,826.13
3138,2017-02-06,822.39
3139,2017-02-07,831.92
3140,2017-02-08,834.25
3141,2017-02-09,831.98
3142,2017-02-10,837.15
3143,2017-02-13,841.735
3144,2017-02-14,842.0
3145,2017-02-15,841.7725
3146,2017-02-16,842.69
3147,2017-02-17,846.94
3148,2017-02-21,852.2
3149,2017-02-22,853.79
